sku_id,sku_name,category,subcategory,is_in_assortment
118634,Bottled Water 40pk,Grocery,Beverages,1
184220,Paper Towels 12pk,Household,Paper,1
551902,Rotisserie Chicken,Deli,Prepared,1
774015,AA Batteries 48ct,GM,Electronics,1
445880,Laundry Detergent 2pk,Household,Laundry,1
229045,Chicken Breast Family Pack,Meat,Chicken,1
667301,Diapers Size 4,Baby,Diapers,1
330112,Whole Milk Gallon,Dairy,Milk,1
330118,Greek Yogurt 12ct,Dairy,Yogurt,1
441201,Copy Paper 5-Ream,Office,Paper,1
118640,Sparkling Water 24pk,Grocery,Beverages,1
118655,Trail Mix Value Pack,Grocery,Snacks,1
184230,Toilet Paper 30ct,Household,Paper,1
184240,Disinfecting Wipes 3pk,Household,Cleaning,1
551910,Macaroni Salad Tub,Deli,Sides,1
551920,Turkey Club Sandwich,Deli,Prepared,1
774020,HDMI Cable 2-Pack,GM,Electronics,1
774030,Phone Charger Kit,GM,Electronics,1
445890,Dryer Sheets 240ct,Household,Laundry,1
229050,Chicken Breast Tray,Meat,Poultry,1
229060,Atlantic Salmon 2pk,Meat,Seafood,1
667310,Baby Wipes Soft Pack,Baby,Wipes,1
667320,Infant Formula Can,Baby,Formula,1
330120,Butter Quarters 4pk,Dairy,Butter,1
441210,Ballpoint Pens 60ct,Office,Writing,1
441220,Sticky Notes Value,Office,Supplies,1
990101,Bananas Club Bunch,Produce,Fruit,1
990110,Bag Bag 5lb,Produce,Fruit,1
990120,Romaine Hearts 3pk,Produce,Veg,1
118670,Pasta Sauce Twin Pack,Grocery,Pantry,1
118680,Olive Oil 2L,Grocery,Pantry,1
184250,Trash Bags 100ct,Household,Cleaning,1
774040,LED Bulbs 8pk,GM,Home,1
551930,Potato Salad Tub,Deli,Sides,1
229070,Salmon Fillet Pack,Meat,Seafood,1
330130,Shredded Cheese 2lb,Dairy,Cheese,1
667330,Toddler Snacks Box,Baby,Food,1
441230,Binder Clips Assort,Office,Supplies,1
990130,Blueberries Pint,Produce,Fruit,1
118690,Coffee Pods 100ct,Grocery,Beverages,1
