snapshot_date,store_id,chip_label,gap_rate
2026-09-09,101,warehouse_1,0.075
2026-09-09,102,warehouse_2,0.075
2026-09-09,103,warehouse_3,0.05
2026-09-10,101,warehouse_1,0.125
2026-09-10,102,warehouse_2,0.15
2026-09-10,103,warehouse_3,0.1
2026-09-11,101,warehouse_1,0.1
2026-09-11,102,warehouse_2,0.075
2026-09-11,103,warehouse_3,0.1
2026-09-12,101,warehouse_1,0.05
2026-09-12,102,warehouse_2,0.05
2026-09-12,103,warehouse_3,0.1
2026-09-13,101,warehouse_1,0.1
2026-09-13,102,warehouse_2,0.025
2026-09-13,103,warehouse_3,0.075
2026-09-14,101,warehouse_1,0.075
2026-09-14,102,warehouse_2,0.075
2026-09-14,103,warehouse_3,0.1
2026-09-15,101,warehouse_1,0.075
2026-09-15,102,warehouse_2,0.075
2026-09-15,103,warehouse_3,0.075
2026-09-16,101,warehouse_1,0.25
2026-09-16,102,warehouse_2,0.075
2026-09-16,103,warehouse_3,0.05
2026-09-17,101,warehouse_1,0.125
2026-09-17,102,warehouse_2,0.025
2026-09-17,103,warehouse_3,0.1
2026-09-18,101,warehouse_1,0.075
2026-09-18,102,warehouse_2,0.075
2026-09-18,103,warehouse_3,0.125
2026-09-19,101,warehouse_1,0.125
2026-09-19,102,warehouse_2,0.15
2026-09-19,103,warehouse_3,0.05
2026-09-20,101,warehouse_1,0.05
2026-09-20,102,warehouse_2,0.1
2026-09-20,103,warehouse_3,0.1
2026-09-21,101,warehouse_1,0.15
2026-09-21,102,warehouse_2,0.05
2026-09-21,103,warehouse_3,0.05
2026-09-22,101,warehouse_1,0.225
2026-09-22,102,warehouse_2,0.1
2026-09-22,103,warehouse_3,0.075
