snapshot_date,store_id,store_name,chip_label,region,city,assortment_sku_count,gap_sku_count,gap_rate,gap_ceiling,above_ceiling,phantom_sku_count,backroom_rescue_sku_count,floor_units,backroom_units,floor_share_units,open_exceptions
2026-09-09,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,3,0.075,0.15,0,2,2,423.0,631.0,0.4013,3
2026-09-09,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,3,0.075,0.15,0,1,1,487.0,594.0,0.4505,3
2026-09-09,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,2,0.05,0.15,0,2,0,483.0,570.0,0.4587,2
2026-09-10,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,5,0.125,0.15,0,5,2,376.0,622.0,0.3768,5
2026-09-10,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,6,0.15,0.15,0,4,4,405.0,656.0,0.3817,6
2026-09-10,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,4,0.1,0.15,0,3,2,420.0,554.0,0.4312,4
2026-09-11,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,4,0.1,0.15,0,2,1,442.0,638.0,0.4093,4
2026-09-11,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,3,0.075,0.15,0,3,2,482.0,588.0,0.4505,3
2026-09-11,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,4,0.1,0.15,0,3,2,446.0,609.0,0.4227,4
2026-09-12,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,2,0.05,0.15,0,1,1,449.0,553.0,0.4481,2
2026-09-12,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,2,0.05,0.15,0,1,1,453.0,618.0,0.423,2
2026-09-12,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,4,0.1,0.15,0,2,1,462.0,516.0,0.4724,4
2026-09-13,101,warehouse_1,warehouse_1,Northeast,"Everett, MA",40,4,0.1,0.15,0,4,4,549.0,592.0,0.4812,4
2026-09-13,102,warehouse_2,warehouse_2,Northeast,"Dedham, MA",40,1,0.025,0.15,0,1,0,466.0,506.0,0.4794,1
2026-09-13,103,warehouse_3,warehouse_3,Northeast,"Waltham, MA",40,3,0.075,0.15,0,3,2,438.0,626.0,0.4117,3
